sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,description,image,image_label,msrp_display_actual_price_type,name,price,short_description,small_image,small_image_label,special_price,status,thumbnail,thumbnail_label,updated_at,url_key,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
TI000U60200,,Default,simple,,Home,base,"    Dial Color: Multi-Color, Case Shape: Round
    Band Color: Black, Band Material: Rubber
    Watch Movement Type: Quartz, Watch Display Type: Analog
    1 Year Domestic Warranty

",,,"Use config","Timex Fashion Analog Multi-Color Dial Women's Watch - TI000U60200",1560.0000,"    Dial Color: Multi-Color, Case Shape: Round
    Band Color: Black, Band Material: Rubber
    Watch Movement Type: Quartz, Watch Display Type: Analog
    1 Year Domestic Warranty

",,,,2,,,"2015-03-28 11:08:35",timex-fashion-analog-multi-color-dial-women-s-watch-ti000u60200,4,1.0000,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Watches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Watches/Wristwatches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A500,,Default,simple,,Home,base,"    Dial Color: Champagne, Case Shape: Round
    Band Color: Black, Band Material: Leather
    Watch Movement Type: Quartz, Watch Display Type: Analog
    Case Material: Stainless Steel
    Water Resistance Depth: 30 meters
    1 Year Domestic Warranty

",no_selection,,"Use config","Timex Classics Analog Champagne Dial Men's Watch - A500",994.0000,"    Dial Color: Champagne, Case Shape: Round
    Band Color: Black, Band Material: Leather
    Watch Movement Type: Quartz, Watch Display Type: Analog
    Case Material: Stainless Steel
    Water Resistance Depth: 30 meters
    1 Year Domestic Warranty

",no_selection,,,2,no_selection,,"2015-03-28 11:08:08",timex-classics-analog-champagne-dial-men-s-watch-a500,4,1.0000,3.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Watches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Watches/Wristwatches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU12344,,Default,simple,,Home,base,"    Simple Pairing (Pairs automatically, no passcode required)
    Multipoint Technology (Pair headset with two devices)
    Modern, textured design

Technical Details
--------------------------
Item Weight	91 g
Product Dimensions	7.6 x 15 x 3.6 cm
Batteries:	1 Nonstandard Battery batteries required.
Item model number	BHM1300NRACSTA
Weight 	90 Grams

Addition information
----------------------------
ASIN	B00BCUNH0M
Customer Reviews 	Be the first to review this product
Best Sellers Rank	#1,99,056 in Electronics (See top 100)
Date First Available	9 July 2014",,,"Use config","Samsung HM1300 Bluetooth Headset (Red)",1559.0000,"Simple Pairing (Pairs automatically, no passcode required)
    Multipoint Technology (Pair headset with two devices)
    Modern, textured design",,,,2,,,"2015-03-28 11:19:23",samsung-hm1300-bluetooth-headset-red,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Electronics,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories ",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
